,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Southern Miss,Q1 15:0,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757263101849903,0,0
1,Southern Miss,Q1 15:0,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757263101849903,0,0
2,Southern Miss,Q1 14:53,1,10,Pass Incompletion,75,0,Braylon Braxton pass incomplete to Carl Chester,401757263101854601,0,0
3,Southern Miss,Q1 14:48,2,10,Rush,75,3,Robert Briggs run for 3 yds to the USM 28,401757263101855101,0,0
4,Southern Miss,Q1 14:25,3,7,Pass Incompletion,72,0,Braylon Braxton pass incomplete to Carl Chester,401757263101857401,0,0
5,Southern Miss,Q1 14:17,4,7,Punt,72,47,"Jack Murley punt for 47 yds , Dedrick Latulas returns for 1 yd to the LT 26",401757263101858201,0,0
6,Louisiana Tech,Q1 14:17,4,7,Punt Return,25,1,"Jack Murley punt for 47 yds , Dedrick Latulas returns for 1 yd to the LT 26",401757263101858201,0,0
7,Louisiana Tech,Q1 13:50,1,10,Pass Reception,26,73,Blake Baker pass complete to Eli Finley for 73 yds to the USM 1 for a 1ST down,401757263101864901,0,0
8,Louisiana Tech,Q1 13:43,1,1,Rushing Touchdown,99,1,Blake Baker run for 1 yd for a TD (Drew Henderson KICK),401757263101865601,7,0
9,Southern Miss,Q1 13:43,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757263101865603,7,0
10,Southern Miss,Q1 13:43,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757263101865603,7,0
11,Southern Miss,Q1 13:37,1,10,Rush,75,3,Robert Briggs run for 3 yds to the USM 28,401757263101866201,0,7
12,Southern Miss,Q1 13:5,2,7,Pass Reception,72,3,Braylon Braxton pass complete to Bralon Brown for 3 yds to the USM 31,401757263101869401,0,7
13,Southern Miss,Q1 12:31,3,4,Pass Reception,69,39,Braylon Braxton pass complete to Carl Chester for 39 yds to the LT 30 for a 1ST down,401757263101876801,0,7
14,Southern Miss,Q1 12:15,1,10,Passing Touchdown,30,30,Braylon Braxton pass complete to Kyirin Heath for 30 yds for a TD (Reed Harradine KICK),401757263101878401,7,7
15,Louisiana Tech,Q1 12:15,1,10,Kickoff,65,-65,Reed Harradine kickoff for 65 yds for a touchback,401757263101878403,7,7
16,Louisiana Tech,Q1 12:15,1,10,Touchback,0,25,Reed Harradine kickoff for 65 yds for a touchback,401757263101878403,7,7
17,Louisiana Tech,Q1 11:54,1,10,Pass Reception,25,47,Blake Baker pass complete to Eli Finley for 47 yds to the USM 28 for a 1ST down,401757263101884501,7,7
18,Louisiana Tech,Q1 11:54,1,10,Timeout,72,0,"Timeout Louisiana Tech, clock 11:54",401757263101884502,7,7
19,Louisiana Tech,Q1 11:26,1,10,Rush,72,2,Omiri Wiggins run for 2 yds to the USM 26,401757263101887301,7,7
20,Louisiana Tech,Q1 11:4,2,8,Rush,74,5,Omiri Wiggins run for 5 yds to the USM 21,401757263101889501,7,7
21,Louisiana Tech,Q1 10:43,3,3,Rush,79,2,Omiri Wiggins run for 2 yds to the USM 19,401757263101895601,7,7
22,Louisiana Tech,Q1 10:11,4,1,Rush,81,7,Clay Thevenin run for 7 yds to the USM 12 for a 1ST down,401757263101898801,7,7
23,Louisiana Tech,Q1 9:51,1,10,Rush,88,1,Clay Thevenin run for 1 yd to the USM 11,401757263101904801,7,7
24,Louisiana Tech,Q1 9:19,2,9,Rush,89,1,Clay Thevenin run for 1 yd to the USM 10,401757263101908001,7,7
25,Louisiana Tech,Q1 8:44,3,8,Pass Reception,90,4,Blake Baker pass complete to Eli Finley for 4 yds to the USM 6,401757263101915501,7,7
26,Louisiana Tech,Q1 8:10,4,4,Field Goal Good,94,24,Drew Henderson 24 yd FG GOOD,401757263101918901,10,7
27,Southern Miss,Q1 8:10,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757263101918902,10,7
28,Southern Miss,Q1 8:10,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757263101918902,10,7
29,Southern Miss,Q1 8:4,1,10,Penalty,75,-13,"(08:10) Shotgun Braxton,Braylon rush right for 0 yards to the USM25 (Oguns,Emmanuel; Leota,Sifa) PENALTY USM Illegal Use Of Hands (Maui,Aloali'i) 13 yards from USM25 to USM12. NO PLAY.",401757263101919501,7,10
30,Southern Miss,Q1 7:28,1,23,Rush,88,13,Matt Jones run for 13 yds to the USM 25,401757263101927101,7,10
31,Southern Miss,Q1 7:4,2,10,Rush,75,4,Matt Jones run for 4 yds to the USM 29,401757263101929501,7,10
32,Southern Miss,Q1 6:29,3,6,Pass Reception,71,23,"Braylon Braxton pass complete to Tychaun Chapman for 8 yds to the LT 37 for a 1ST down Louisiana Tech Penalty, Targeting (Jakari Foster) to the LT 48 for a 1ST down",401757263101937001,7,10
33,Southern Miss,Q1 4:59,1,10,Pass Reception,48,2,Braylon Braxton pass complete to Micah Davis for 2 yds to the LT 46,401757263101954001,7,10
34,Southern Miss,Q1 4:41,2,8,Rush,46,-2,Matt Jones run for a loss of 2 yards to the LT 48,401757263101955801,7,10
35,Southern Miss,Q1 4:22,3,10,Penalty,48,7,"(04:27) Shotgun Braxton,Braylon pass incomplete short right to Davis,Micah thrown to LAT39 PENALTY LAT Pass Interference (Butler,Amari) 7 yards from LAT48 to LAT41, 1ST DOWN. NO PLAY.",401757263101957701,7,10
36,Southern Miss,Q1 3:33,1,10,Rush,41,14,Robert Briggs run for 14 yds to the LT 27 for a 1ST down,401757263101966601,7,10
37,Southern Miss,Q1 3:29,1,10,Rush,27,1,Robert Briggs run for 1 yd to the LT 26,401757263101967001,7,10
38,Southern Miss,Q1 3:29,2,9,Pass Reception,26,6,Braylon Braxton pass complete to Robert Briggs for 6 yds to the LT 20,401757263101967002,7,10
39,Southern Miss,Q1 3:29,3,3,Pass Incompletion,20,0,Braylon Braxton pass incomplete to Elijah Metcalf,401757263101967003,7,10
40,Southern Miss,Q1 3:29,4,3,Field Goal Good,20,38,Reed Harradine 38 yd FG GOOD,401757263101967004,10,10
41,Louisiana Tech,Q1 3:29,1,10,Kickoff,65,-64,Reed Harradine kickoff for 64 yds,401757263101967005,10,10
42,Louisiana Tech,Q1 3:16,1,10,Pass Reception,35,18,Blake Baker pass complete to Eli Finley for 18 yds to the USM 47 for a 1ST down,401757263101968301,10,10
43,Louisiana Tech,Q1 2:48,1,10,Rush,53,9,Blake Baker run for 9 yds to the USM 38,401757263101975101,10,10
44,Louisiana Tech,Q1 2:16,2,1,Rush,62,3,Blake Baker run for 3 yds to the USM 35 for a 1ST down,401757263101978301,10,10
45,Louisiana Tech,Q1 2:5,1,10,Pass Incompletion,65,0,Blake Baker pass incomplete to Devin Gandy,401757263101979401,10,10
46,Louisiana Tech,Q1 2:2,2,10,Penalty,65,15,"(02:02) Shotgun Baker,Blake rush right for 2 yards loss to the USM37 (McKinney,Jaden) PENALTY USM Face Mask (McKinney,Jaden) 15 yards from USM35 to USM20, 1ST DOWN. NO PLAY.",401757263101979701,10,10
