,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Louisiana Tech,Q1 14:52,1,10,Kickoff,65,26,(15:00) #49 C.Pavon kickoff 65 yards to the LAT00 #1 D.Gandy return 26 yards to the LAT26 (#38 A.Murdaugh),4017572903,0,0
1,Louisiana Tech,Q1 14:32,1,10,Pass Reception,26,6,"(14:44) Shotgun #5 B.Baker pass complete short right to #18 M.Jackson caught at LAT22, for 6 yards to the LAT32 (#4 J.Scott; #7 E.Allen)",40175729014,0,0
2,Louisiana Tech,Q1 14:8,2,4,Rush,32,5,"(14:16) Shotgun #5 B.Baker rush middle for 5 yards gain to the LAT37 (#7 E.Allen), 1ST DOWN",40175729019,0,0
3,Louisiana Tech,Q1 13:43,1,10,Pass Reception,37,2,"(13:52) Shotgun #5 B.Baker pass complete short right to #4 C.Thevenin caught at LAT36, for 2 yards to the LAT39 (#30 D.Ford)",40175729023,0,0
4,Louisiana Tech,Q1 13:23,2,8,Rush,39,15,"(13:27) Shotgun #4 C.Thevenin rush middle for 15 yards gain to the SHU46 (#3 T.Harris), 1ST DOWN",40175729028,0,0
5,Louisiana Tech,Q1 13:0,1,10,Rush,54,3,(13:04) Shotgun #4 C.Thevenin rush middle for 3 yards gain to the SHU43 (#17 C.Eaton; #4 J.Scott),40175729032,0,0
6,Louisiana Tech,Q1 12:23,2,7,Rush,57,7,"(12:30) Shotgun #5 B.Baker rush middle for 7 yards gain to the SHU36 (#6 A.Fish; #0 A.Edwards Jr.), 1ST DOWN",40175729036,0,0
7,Louisiana Tech,Q1 11:48,1,10,Passing Touchdown,64,36,Devin Gandy 36 Yd pass from Blake Baker (Drew Henderson Kick),40175729040,7,0
8,Sam Houston,Q1 11:48,1,10,Kickoff,35,-65,"(11:48) #48 J.Chance kickoff 65 yards to the SHU00, Touchback",40175729048,7,0
9,Sam Houston,Q1 11:48,1,10,Touchback,100,25,"(11:48) #48 J.Chance kickoff 65 yards to the SHU00, Touchback",40175729048,7,0
10,Sam Houston,Q1 11:41,1,10,Pass Incompletion,75,0,(11:48) Shotgun #10 H.Watson pass incomplete short left to #84 L.Deyon thrown to SHU40,40175729051,0,7
11,Sam Houston,Q1 11:28,2,10,Rush,75,8,(11:41) Shotgun #10 H.Watson rush middle for 8 yards gain to the SHU33 (#6 T.Averhart; #22 J.Mayfield),40175729054,0,7
12,Sam Houston,Q1 10:44,3,2,Rush,67,7,"(11:02) Shotgun #10 H.Watson rush middle for 7 yards gain to the SHU40, End Of Play, 1ST DOWN",40175729058,0,7
13,Sam Houston,Q1 10:21,1,10,Pass Incompletion,60,0,(10:21) Shotgun #10 H.Watson pass incomplete short middle to #2 C.Reed thrown to SHU50 broken up by #11 C.Woods,40175729062,0,7
14,Sam Houston,Q1 9:26,2,10,Pass Reception,60,2,"(09:41) Shotgun #10 H.Watson pass complete short right to #2 C.Reed caught at SHU43, for 2 yards to the SHU42 (#11 C.Woods)",40175729070,0,7
15,Sam Houston,Q1 8:55,3,8,Pass Incompletion,58,0,(08:55) Shotgun #10 H.Watson pass incomplete short left thrown to SHU45 PENALTY SHU Holding declined,40175729075,0,7
16,Sam Houston,Q1 8:43,4,8,Punt Return,58,24,(08:43) #35 C.Gerrand punt 40 yards to the LAT18 #3 D.Latulas return 24 yards to the LAT42 (#86 T.Jewett),40175729079,0,7
17,Louisiana Tech,Q1 8:36,1,10,Rush,42,8,(08:43) Shotgun #22 O.Wiggins rush middle for 8 yards gain to the LAT50 (#44 B.Henderson; #2 C.Powell),40175729085,7,0
18,Louisiana Tech,Q1 8:16,2,2,Rush,50,10,"(08:31) Shotgun #22 O.Wiggins rush middle for 10 yards gain to the SHU40 (#3 T.Harris), 1ST DOWN",40175729089,7,0
19,Louisiana Tech,Q1 7:40,1,10,Rush,60,37,"(07:53) Shotgun #22 O.Wiggins rush left for 37 yards gain to the SHU03 (#7 E.Allen), out of bounds, 1ST DOWN",40175729093,7,0
20,Louisiana Tech,Q1 7:4,1,3,Rush,97,-3,(07:08) Shotgun #22 O.Wiggins rush right for 3 yards loss to the SHU06 (#30 D.Ford; #9 J.Arnold),40175729097,7,0
21,Louisiana Tech,Q1 6:33,2,6,Rushing Touchdown,94,6,Clay Thevenin 6 Yd Run (Drew Henderson Kick),401757290101,14,0
22,Sam Houston,Q1 6:28,1,10,Kickoff,35,11,(06:33) #48 J.Chance kickoff 64 yards to the SHU01 #11 M.Phillips return 11 yards to the SHU12 (#35 C.Watson; #21 Z.Hill),401757290108,14,0
23,Sam Houston,Q1 6:18,1,10,Rush,88,0,(06:28) Shotgun #34 L.Brown rush right for 0 yards to the SHU12 (#11 C.Woods; #98 D.Rieman),401757290113,0,14
24,Sam Houston,Q1 5:47,2,10,Penalty,88,5,PENALTY SHU False Start (#71 J.Dawn II) 5 yards from SHU12 to SHU07. NO PLAY,401757290119,0,14
25,Sam Houston,Q1 5:31,2,15,Penalty,93,3,"(05:31) Shotgun #10 H.Watson pass complete deep middle to #6 G.O'Neill caught at SHU30, for 23 yards to the SHU30 (#8 J.Fields) PENALTY SHU Holding (#79 K.Dieterich) 3 yards from SHU07 to SHU04. NO PLAY",401757290122,0,14
26,Sam Houston,Q1 5:2,2,18,Pass Reception,96,7,"(05:06) Shotgun #10 H.Watson pass complete short right to #2 C.Reed caught at SHU09, for 7 yards to the SHU11 (#11 C.Woods) PENALTY LAT Face Mask (#11 C.Woods) 15 yards from SHU11 to SHU26, 1ST DOWN",401757290128,0,14
27,Sam Houston,Q1 4:26,1,10,Pass Reception,74,8,"(04:42) Shotgun #10 H.Watson pass complete short right to #2 C.Reed caught at SHU30, for 8 yards to the SHU34 (#11 C.Woods; #8 J.Fields), out of bounds",401757290134,0,14
28,Sam Houston,Q1 3:52,2,2,Pass Incompletion,66,0,(03:57) Shotgun #10 H.Watson pass incomplete short left to #11 M.Phillips thrown to SHU41,401757290139,0,14
29,Sam Houston,Q1 3:43,3,2,Rush,66,3,"(03:52) Shotgun #34 L.Brown rush middle for 3 yards gain to the SHU37 (#90 J.Madkins), 1ST DOWN",401757290142,0,14
30,Sam Houston,Q1 2:59,1,10,Rush,63,7,(03:04) Shotgun #34 L.Brown rush middle for 7 yards gain to the SHU44 (#9 M.Mason),401757290146,0,14
31,Sam Houston,Q1 2:24,2,3,Pass Incompletion,56,0,(02:34) Shotgun #10 H.Watson pass incomplete short middle to #7 Q.Humphreys thrown to SHU47 QB hurried by #22 J.Mayfield,401757290150,0,14
32,Sam Houston,Q1 2:18,3,3,Sack,56,-1,(02:18) Shotgun #10 H.Watson sacked for loss of 1 yard to the SHU43 (#98 D.Rieman) PENALTY SHU Holding declined,401757290153,0,14
33,Sam Houston,Q1 1:53,4,4,Punt,57,0,(01:59) #35 C.Gerrand punt 39 yards to the LAT18 fair catch by #3 D.Latulas at LAT18,401757290158,0,14
34,Louisiana Tech,Q1 1:33,1,10,Pass Reception,18,8,"(01:53) Shotgun #5 B.Baker pass complete short right to #16 M.Singleton Jr. caught at LAT13, for 8 yards to the LAT26 (#7 E.Allen; #8 C.Johnson)",401757290162,14,0
35,Louisiana Tech,Q1 1:12,2,2,Rush,26,5,"(01:12) Shotgun #4 C.Thevenin rush right for 5 yards gain to the LAT31 (#0 A.Edwards Jr.), out of bounds, 1ST DOWN",401757290167,14,0
36,Louisiana Tech,Q1 0:38,1,10,Rush,31,6,(00:38) Shotgun #22 O.Wiggins rush middle for 6 yards gain to the LAT37 (#7 E.Allen),401757290171,14,0
37,Louisiana Tech,Q1 0:0,1,10,End Period,31,6,End of 1st quarter.,401757290177,14,0
38,Louisiana Tech,Q2 14:50,2,4,Rush,37,-3,(14:57) Shotgun #22 O.Wiggins rush left for 3 yards loss to the LAT34 (#33 Z.Lawton; #44 B.Henderson),401757290181,14,0
39,Louisiana Tech,Q2 14:3,3,7,Pass Reception,34,16,"(14:16) Shotgun #5 B.Baker pass complete short middle to #84 E.Finley caught at LAT45, for 16 yards to the LAT50 (#13 T.Bailey), 1ST DOWN",401757290187,14,0
40,Louisiana Tech,Q2 13:39,1,10,Rushing Touchdown,50,50,Clay Thevenin 50 Yd Run (Drew Henderson Kick),401757290192,21,0
41,Sam Houston,Q2 13:39,1,10,Kickoff,35,-65,"(13:39) #48 J.Chance kickoff 65 yards to the SHU00, Touchback",401757290199,21,0
42,Sam Houston,Q2 13:39,1,10,Touchback,100,25,"(13:39) #48 J.Chance kickoff 65 yards to the SHU00, Touchback",401757290199,21,0
43,Sam Houston,Q2 13:26,1,10,Pass Reception,75,5,"(13:39) Shotgun #10 H.Watson pass complete short right to #6 G.O'Neill caught at SHU30, for 5 yards to the SHU30 (#9 M.Mason)",401757290202,0,21
