,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Louisiana Tech,Q1 15:0,1,10,Kickoff,65,-65,"#91 N.Reed kickoff 65 yards to the TECH00, Touchback",40175729515,0,0
1,Louisiana Tech,Q1 15:0,1,10,Touchback,0,25,"#91 N.Reed kickoff 65 yards to the TECH00, Touchback",40175729515,0,0
2,Louisiana Tech,Q1 15:0,1,10,Rush,25,4,No Huddle-Shotgun #4 C.Thevenin rush middle for 4 yards gain to the TECH29 (#8 E.Saunders),40175729522,0,0
3,Louisiana Tech,Q1 15:0,2,6,Rush,29,-2,No Huddle-Shotgun #4 C.Thevenin rush right for 2 yards loss to the TECH27 (#35 G.Moul; #13 N.Matthews),40175729526,0,0
4,Louisiana Tech,Q1 15:0,3,8,Penalty,27,5,No Huddle-Shotgun #5 B.Baker pass incomplete short right to #1 D.Gandy thrown to TECH44 PENALTY DEL Offside (#34 D.McConomy) 5 yards from TECH27 to TECH32. NO PLAY,40175729530,0,0
5,Louisiana Tech,Q1 15:0,3,3,Pass Incompletion,32,0,No Huddle-Shotgun #5 B.Baker pass incomplete short right to #1 D.Gandy thrown to TECH45,40175729534,0,0
6,Louisiana Tech,Q1 13:44,4,3,Punt,32,0,#48 J.Chance punt 50 yards to the DEL18 fair catch by #19 K.Duplessis at DEL18,40175729537,0,0
7,Delaware,Q1 13:44,1,10,Rush,82,-5,No Huddle-Shotgun #27 J.Silver rush left for 5 yards loss to the DEL13 (#22 J.Mayfield; #94 E.Oguns),40175729541,0,0
8,Delaware,Q1 13:44,2,15,Pass Reception,87,14,"No Huddle-Shotgun #4 N.Minicucci pass complete short middle to #18 S.Wilson caught at DEL25, for 14 yards to the DEL27 (#11 C.Woods)",40175729545,0,0
9,Delaware,Q1 13:44,3,1,Rush,73,1,"No Huddle-Shotgun #27 J.Silver rush middle for 1 yard gain to the DEL28 (#94 E.Oguns; #90 J.Madkins), 1ST DOWN",40175729550,0,0
10,Delaware,Q1 13:44,1,10,Pass Reception,72,8,"No Huddle-Shotgun #4 N.Minicucci pass complete short left to #19 K.Duplessis caught at DEL30, for 8 yards to the DEL36 (#7 J.Shelby Jr.; #6 J.Foster)",40175729554,0,0
