,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Louisiana Tech,Q1 15:0,1,10,Kickoff,65,-65,"(15:00) #98 R.Harris kickoff 65 yards to the LAT00, Touchback",4017529533,0,0
1,Louisiana Tech,Q1 15:0,1,10,Touchback,0,25,"(15:00) #98 R.Harris kickoff 65 yards to the LAT00, Touchback",4017529533,0,0
2,Louisiana Tech,Q1 14:53,1,10,Pass Incompletion,25,0,(14:59) Shotgun #7 E.Bullock pass incomplete short left to #1 D.Gandy thrown to LAT35,40175295312,0,0
3,Louisiana Tech,Q1 14:50,2,10,Penalty,25,5,(14:50) No Huddle-Shotgun #2 T.Kukuk rush middle for 2 yards gain to the LAT27 (#44 P.McKenna) PENALTY WSU Illegal Substitution 5 yards from LAT25 to LAT30. NO PLAY,40175295315,0,0
4,Louisiana Tech,Q1 14:37,2,5,Rush,30,0,(14:42) No Huddle-Shotgun #4 C.Thevenin rush right for 0 yards to the LAT30 (#2 C.Humphrey; #24 S.Schlimgen),40175295320,0,0
5,Louisiana Tech,Q1 13:56,3,5,Pass Reception,30,15,"(14:05) No Huddle-Shotgun #7 E.Bullock pass complete short left to #11 J.Mickens caught at LAT48, for 15 yards to the LAT45 QB hurried by #45 R.Stevenson (#5 J.Colson), out of bounds, 1ST DOWN",40175295324,0,0
6,Louisiana Tech,Q1 13:33,1,10,Rush,45,0,(13:36) No Huddle-Shotgun #4 C.Thevenin rush middle for 0 yards to the LAT45 (#5 J.Colson),40175295329,0,0
7,Louisiana Tech,Q1 13:1,2,10,Pass Reception,45,3,"(13:09) No Huddle-Shotgun #7 E.Bullock pass complete short right to #11 J.Mickens caught at LAT48, for 3 yards to the LAT48 (#2 C.Humphrey), out of bounds",40175295333,0,0
8,Louisiana Tech,Q1 12:31,3,7,Pass Incompletion,48,0,(12:33) No Huddle-Shotgun #7 E.Bullock pass incomplete short right to #16 M.Singleton Jr. thrown to WSU45,40175295338,0,0
9,Louisiana Tech,Q1 12:27,4,7,Pass Incompletion,48,0,"(12:31) No Huddle #48 J.Chance pass incomplete short right to #18 M.Jackson thrown to WSU45 broken up by #19 K.Patu, TURNOVER ON DOWNS",40175295341,0,0
10,Washington State,Q1 12:20,1,10,Rush,48,10,"(12:25) Shotgun #9 K.Vorhees rush middle for 10 yards gain to the LAT38 (#8 J.Fields; #6 J.Foster), 1ST DOWN",40175295345,0,0
11,Washington State,Q1 11:43,1,10,Rush,38,8,(11:50) Shotgun #4 Z.Eckhaus rush middle for 8 yards gain to the LAT30 (#8 J.Fields),40175295349,0,0
12,Washington State,Q1 11:5,2,2,Rush,30,7,"(11:11) Shotgun #9 K.Vorhees rush middle for 7 yards gain to the LAT23 (#6 J.Foster), 1ST DOWN",40175295353,0,0
13,Washington State,Q1 10:27,1,10,Rush,23,2,(10:31) Shotgun #9 K.Vorhees rush middle for 2 yards gain to the LAT21 (#6 J.Foster; #96 Z.Nason),40175295357,0,0
