,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Louisiana Tech,Q1 15:0,1,10,Kickoff,65,-65,"(15:00) #37 M.Morgan kickoff 65 yards to the LAT00, Touchback",4017573073,0,0
1,Louisiana Tech,Q1 15:0,1,10,Touchback,0,25,"(15:00) #37 M.Morgan kickoff 65 yards to the LAT00, Touchback",4017573073,0,0
2,Louisiana Tech,Q1 14:44,1,10,Rush,25,12,"(15:00) Shotgun #2 T.Kukuk rush right for 12 yards gain to the LAT37 (#6 C.Bodnar), 1ST DOWN",40175730712,0,0
3,Louisiana Tech,Q1 14:18,1,10,Rush,37,6,(14:35) Shotgun #0 A.Burnette rush middle for 6 yards gain to the LAT43 (#11 D.Farrar; #99 B.Dixon),40175730717,0,0
4,Louisiana Tech,Q1 13:48,2,4,Rush,43,4,"(14:04) Shotgun #2 T.Kukuk rush middle for 4 yards gain to the LAT47 (#99 B.Dixon), 1ST DOWN",40175730721,0,0
5,Louisiana Tech,Q1 13:20,1,10,Rush,47,-1,"(13:32) Shotgun #4 C.Thevenin rush right for 1 yard loss to the LAT46 (#13 D.Harmon; #29 A.Jones), out of bounds",40175730725,0,0
6,Louisiana Tech,Q1 12:41,2,11,Pass Reception,46,6,"(13:05) Shotgun #2 T.Kukuk pass complete short middle to #84 E.Finley caught at LUF50, for 6 yards to the LUF48 (#33 A.Vaughan; #13 D.Harmon)",40175730729,0,0
7,Louisiana Tech,Q1 12:5,3,5,Pass Reception,52,7,"(12:25) Shotgun #2 T.Kukuk pass complete short right to #4 C.Thevenin caught at LAT46, for 7 yards to the LUF41 (#57 A.Hester; #29 A.Jones), 1ST DOWN",40175730734,0,0
8,Louisiana Tech,Q1 11:32,1,10,Rush,59,4,(11:47) Shotgun #0 A.Burnette rush middle for 4 yards gain to the LUF37 (#30 E.Crisp; #14 E.Auguste),40175730739,0,0
9,Louisiana Tech,Q1 11:12,2,6,Rush,63,3,"(11:17) Shotgun #0 A.Burnette rush middle for 3 yards gain to the LUF34 (#1 C.Bazile, Jr.; #97 M.Jarvis)",40175730743,0,0
10,Louisiana Tech,Q1 10:31,3,3,Rush,66,5,"(10:43) Shotgun #2 T.Kukuk rush middle for 5 yards gain to the LUF29 (#14 E.Auguste; #94 N.Pirolli), 1ST DOWN",40175730747,0,0
11,Louisiana Tech,Q1 9:46,1,10,Rush,71,14,"(10:01) Shotgun #18 M.Jackson rush right for 14 yards gain to the LUF15 (#4 M.Pollard), 1ST DOWN",40175730751,0,0
12,Louisiana Tech,Q1 9:21,1,10,Rush,85,5,(09:27) Shotgun #4 C.Thevenin rush middle for 5 yards gain to the LUF10 (#94 N.Pirolli; #4 M.Pollard),40175730755,0,0
13,Louisiana Tech,Q1 8:58,2,5,Rush,90,2,(09:08) Shotgun #4 C.Thevenin rush middle for 2 yards gain to the LUF08 (#55 D.Dozier; #94 N.Pirolli),40175730759,0,0
14,Louisiana Tech,Q1 8:23,3,3,Rushing Touchdown,92,8,"(08:33) Shotgun #0 A.Burnette rush right for 8 yards gain to the LUF00 TOUCHDOWN, clock 08:23, 1ST DOWN #43 D.Henderson kick attempt good (H: #48 J.Chance, LS: #41 E.Burch)",40175730763,7,0
15,Liberty,Q1 8:23,1,10,Kickoff,35,-65,"(08:23) #48 J.Chance kickoff 65 yards to the LUF00, Touchback",40175730770,7,0
16,Liberty,Q1 8:23,1,10,Touchback,100,25,"(08:23) #48 J.Chance kickoff 65 yards to the LUF00, Touchback",40175730770,7,0
17,Liberty,Q1 8:5,1,10,Pass Reception,75,16,"(08:23) Shotgun #15 E.Vasko pass complete short middle to #48 C.Ryan caught at LUF37, for 16 yards to the LUF41 (#8 J.Fields), 1ST DOWN",40175730773,0,7
18,Liberty,Q1 7:48,1,10,Rush,59,1,(07:57) Shotgun #23 E.Dickens rush middle for 1 yard gain to the LUF42 (#90 J.Madkins; #1 M.Richard),40175730778,0,7
19,Liberty,Q1 7:17,2,9,Rush,58,0,(07:36) Shotgun #23 E.Dickens rush right for 0 yards to the LUF42 (#22 J.Mayfield; #7 J.Shelby Jr.),40175730782,0,7
20,Liberty,Q1 6:39,3,9,Pass Reception,58,8,"(06:43) Shotgun #15 E.Vasko pass complete short right to #3 J.Person caught at LUF50, for 8 yards to the LUF50 (#7 J.Shelby Jr.), out of bounds",40175730786,0,7
21,Liberty,Q1 6:28,4,1,Rush,50,3,"(06:35) Shotgun #15 E.Vasko rush middle for 3 yards gain to the LAT47 (#8 J.Fields; #6 J.Foster), 1ST DOWN",40175730791,0,7
22,Liberty,Q1 5:55,1,10,Rush,47,12,"(05:59) Shotgun #23 E.Dickens rush middle for 12 yards gain to the LAT35 (#8 J.Fields), 1ST DOWN",40175730795,0,7
23,Liberty,Q1 5:25,1,10,Rush,35,1,(05:37) Shotgun #23 E.Dickens rush middle for 1 yard gain to the LAT34 (#0 S.Fongang; #9 M.Mason),40175730799,0,7
24,Liberty,Q1 4:39,2,9,Pass Reception,34,17,"(05:05) Shotgun #15 E.Vasko pass complete short left to #9 D.Lee Jr. caught at LAT17, for 17 yards to the LAT17 (#22 J.Mayfield; #11 C.Woods), 1ST DOWN",401757307103,0,7
25,Liberty,Q1 4:22,1,10,Rush,17,-1,(04:28) Shotgun #23 E.Dickens rush middle for 1 yard loss to the LAT18 (#8 J.Fields; #94 E.Oguns),401757307108,0,7
26,Liberty,Q1 3:27,2,11,Pass Reception,18,7,"(03:39) Shotgun #15 E.Vasko pass complete short right to #0 J.Coleman caught at LAT15, for 7 yards to the LAT11 (#21 Z.Hill; #7 J.Shelby Jr.)",401757307112,0,7
27,Liberty,Q1 2:54,3,4,Rush,11,-4,(02:58) Shotgun #0 J.Coleman rush left for 4 yards loss to the LAT15 (#22 J.Mayfield; #17 A.Butler),401757307117,0,7
28,Liberty,Q1 2:22,4,8,Field Goal Good,15,33,"(02:22) #43 J.Billingsley field goal attempt from 33 yards GOOD (H: #37 M.Morgan, LS: #47 R.Manis), clock 02:22",401757307121,3,7
29,Louisiana Tech,Q1 2:22,1,10,Kickoff,65,-65,"(02:22) #37 M.Morgan kickoff 65 yards to the LAT00, Touchback",401757307124,3,7
30,Louisiana Tech,Q1 2:22,1,10,Touchback,0,25,"(02:22) #37 M.Morgan kickoff 65 yards to the LAT00, Touchback",401757307124,3,7
31,Louisiana Tech,Q1 2:8,1,10,Pass Reception,25,8,"(02:22) Shotgun #2 T.Kukuk pass complete short middle to #84 E.Finley caught at LAT26, for 8 yards to the LAT33 (#33 A.Vaughan)",401757307127,7,3
32,Louisiana Tech,Q1 1:49,2,2,Rush,33,2,"(01:51) Shotgun #22 O.Wiggins rush left for 2 yards gain to the LAT35 (#97 M.Jarvis; #13 D.Harmon), 1ST DOWN, PENALTY LUF Face Mask (#97 M.Jarvis) 15 yards from LAT35 to LAT50, 1ST DOWN",401757307132,7,3
