,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Missouri State,Q1 15:0,1,10,Kickoff,35,-65,"#48 J.Chance kickoff 65 yards to the MSU00, Touchback",4017573143,0,0
1,Missouri State,Q1 15:0,1,10,Touchback,100,25,"#48 J.Chance kickoff 65 yards to the MSU00, Touchback",4017573143,0,0
2,Missouri State,Q1 15:0,1,10,Rush,75,14,"Shotgun #2 S.Lawrence rush right for 14 yards gain to the MSU39 (#11 C.Woods; #8 J.Fields), 1ST DOWN",40175731412,0,0
3,Missouri State,Q1 15:0,1,10,Pass Reception,61,8,"No Huddle-Shotgun #12 J.Clark pass complete short left to #85 D.Hipp caught at MSU44, for 8 yards to the MSU47 (#8 J.Fields; #6 J.Foster)",40175731416,0,0
4,Missouri State,Q1 15:0,2,2,Pass Incompletion,53,0,No Huddle-Shotgun #12 J.Clark pass incomplete short middle to #11 M.Cope thrown to LTU40,40175731421,0,0
5,Missouri State,Q1 15:0,3,2,Pass Reception,53,33,"No Huddle #12 J.Clark pass complete short right to #40 C.Lair caught at MSU49, for 33 yards to the LTU20 (#6 J.Foster), 1ST DOWN",40175731424,0,0
6,Missouri State,Q1 15:0,1,10,Sack,20,-6,No Huddle-Shotgun #12 J.Clark sacked for loss of 6 yards to the LTU26 (#98 D.Rieman),40175731429,0,0
7,Missouri State,Q1 15:0,2,16,Rush,26,1,No Huddle-Shotgun #12 J.Clark rush middle for 1 yard gain to the LTU25 (#91 C.Sims),40175731433,0,0
8,Missouri State,Q1 15:0,3,15,Sack,25,-10,No Huddle-Shotgun #12 J.Clark sacked for loss of 10 yards to the LTU35 (#42 S.Leota),40175731437,0,0
9,Missouri State,Q1 10:58,4,25,Punt,35,33,#25 S.McDonald punt 33 yards to the LTU02,40175731441,0,0
10,Louisiana Tech,Q1 10:43,1,10,Rushing Touchdown,2,98,"No Huddle-Shotgun #0 A.Burnette rush right for 98 yards gain to the MSU00 TOUCHDOWN, clock 10:43, 1ST DOWN #38 K.Kent kick attempt good (H: #29 L.Matthews, LS: #41 E.Burch)",40175731445,7,0
11,Missouri State,Q1 10:43,1,10,Kickoff,35,-65,"#48 J.Chance kickoff 65 yards to the MSU00, Touchback",40175731453,7,0
12,Missouri State,Q1 10:43,1,10,Touchback,100,25,"#48 J.Chance kickoff 65 yards to the MSU00, Touchback",40175731453,7,0
13,Missouri State,Q1 10:43,1,10,Rush,75,-4,Shotgun #2 S.Lawrence rush right for 4 yards loss to the MSU21 (#22 J.Mayfield; #98 D.Rieman),40175731456,0,7
14,Missouri State,Q1 10:43,2,14,Pass Reception,79,12,"No Huddle-Shotgun #12 J.Clark pass complete short middle to #11 M.Cope caught at MSU33, for 12 yards to the MSU33 (#7 J.Shelby Jr.)",40175731460,0,7
15,Missouri State,Q1 10:43,3,2,Pass Reception,67,1,"No Huddle #12 J.Clark pass complete short left to #2 S.Lawrence caught at MSU34, for 1 yard to the MSU34 (#7 J.Shelby Jr.)",40175731465,0,7
16,Missouri State,Q1 10:43,4,1,Rush,66,2,"#12 J.Clark rush middle for 2 yards gain to the MSU36 (#6 J.Foster), 1ST DOWN",40175731470,0,7
17,Missouri State,Q1 10:43,1,10,Pass Incompletion,64,0,No Huddle-Shotgun #12 J.Clark pass incomplete deep right to #0 J.Robinson thrown to LTU30,40175731474,0,7
18,Missouri State,Q1 10:43,2,10,Rush,64,-3,No Huddle-Shotgun #2 S.Lawrence rush right for 3 yards loss to the MSU33 (#9 M.Mason),40175731477,0,7
