,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,SE Louisiana,Q1 15:0,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757221101849903,0,0
1,SE Louisiana,Q1 15:0,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757221101849903,0,0
2,SE Louisiana,Q1 14:37,1,10,Pass Reception,75,2,Carson Camp pass complete to Jaylon Domingeaux for 2 yds to the SELA 27,401757221101856201,0,0
3,SE Louisiana,Q1 13:55,2,8,Rush,73,-1,Carson Camp run for a loss of 1 yard to the SELA 26,401757221101864401,0,0
4,SE Louisiana,Q1 13:34,3,9,Rush,74,10,Jaedon Henry run for 10 yds to the SELA 36 for a 1ST down,401757221101866501,0,0
5,SE Louisiana,Q1 12:56,1,10,Rush,64,10,Jaedon Henry run for 10 yds to the SELA 46 for a 1ST down,401757221101874301,0,0
6,SE Louisiana,Q1 12:25,1,10,Pass Incompletion,54,0,Carson Camp pass incomplete to Jaedon Henry,401757221101877401,0,0
7,SE Louisiana,Q1 12:13,2,10,Penalty,54,-5,"(12:23) PENALTY SLU False Start (Hooper,Zane) 5 yards from SLU46 to SLU41. NO PLAY.",401757221101878601,0,0
8,SE Louisiana,Q1 11:53,2,15,Rush,59,5,Calvin Smith Jr. run for 5 yds to the SELA 46,401757221101884601,0,0
9,SE Louisiana,Q1 10:56,3,10,Rush,54,13,Carson Camp run for 13 yds to the LT 41 for a 1ST down,401757221101894301,0,0
10,SE Louisiana,Q1 10:30,1,10,Pass Interception Return,41,37,Carson Camp pass intercepted,401757221101896901,0,0
11,Louisiana Tech,Q1 10:21,1,10,Rush,4,1,Omiri Wiggins run for 1 yd to the LT 5,401757221101897801,0,0
12,Louisiana Tech,Q1 9:38,2,9,Rush,5,9,Trey Kukuk run for 9 yds to the LT 14 for a 1ST down,401757221101906101,0,0
13,Louisiana Tech,Q1 9:10,1,10,Rush,14,5,Trey Kukuk run for 5 yds to the LT 19,401757221101908901,0,0
14,Louisiana Tech,Q1 8:45,2,5,Pass Reception,19,4,Trey Kukuk pass complete to Marques Singleton Jr. for 4 yds to the LT 23,401757221101915401,0,0
15,Louisiana Tech,Q1 8:45,3,1,Timeout,23,0,"Timeout Louisiana Tech, clock 08:45",401757221101915402,0,0
16,Louisiana Tech,Q1 7:48,3,1,Punt,23,42,"John Hoyet Chance punt for 42 yds, punt out-of-bounds at the SELA 35",401757221101925101,0,0
17,SE Louisiana,Q1 7:32,1,10,Rush,65,-2,Carson Camp run for a loss of 2 yards to the SELA 33,401757221101926701,0,0
18,SE Louisiana,Q1 7:1,2,12,Penalty,67,-5,"PENALTY SLU False Start (Potter,Logan) 5 yards from SLU33 to SLU28. NO PLAY.",401757221101929801,0,0
19,SE Louisiana,Q1 6:45,2,17,Rush,72,4,Carson Camp run for 4 yds to the SELA 32,401757221101935401,0,0
20,SE Louisiana,Q1 6:28,3,13,Rush,68,1,Brandon Hayes run for 1 yd to the SELA 33,401757221101937101,0,0
21,SE Louisiana,Q1 5:53,4,12,Punt,67,34,"Alec Mahler punt for 34 yds, punt out-of-bounds at the LT 33",401757221101944601,0,0
22,Louisiana Tech,Q1 5:47,1,10,Rush,33,-16,"Clay Thevenin run for a loss of 1 yard to the LT 32 Louisiana Tech Penalty, Personal Foul (Marlion Jackson) to the LT 17",401757221101945201,0,0
23,Louisiana Tech,Q1 5:38,2,26,Pass Incompletion,17,0,Trey Kukuk pass incomplete to Marlion Jackson,401757221101946101,0,0
24,Louisiana Tech,Q1 5:28,3,26,Rush,17,6,Clay Thevenin run for 6 yds to the LT 23,401757221101947101,0,0
25,Louisiana Tech,Q1 4:47,4,20,Punt,23,59,"John Hoyet Chance punt for 59 yds, punt out-of-bounds at the SELA 20 , Brandon Hayes returns for 2 yds to the SELA 20",401757221101955201,0,0
26,SE Louisiana,Q1 4:47,4,20,Punt Return,82,2,"John Hoyet Chance punt for 59 yds, punt out-of-bounds at the SELA 20 , Brandon Hayes returns for 2 yds to the SELA 20",401757221101955201,0,0
27,SE Louisiana,Q1 4:35,1,10,Rush,80,-1,Jaedon Henry run for a loss of 1 yard to the SELA 19,401757221101956401,0,0
28,SE Louisiana,Q1 4:5,2,11,Sack,81,-9,Kyle Lowe sacked by Mekhi Mason for a loss of 9 yards to the SELA 10,401757221101959401,0,0
29,SE Louisiana,Q1 3:21,3,20,Penalty,90,-3,"(03:24) Shotgun Henry,Jaedon rush middle for 15 yards gain to the SLU25 (Shelby Jr.,Jhamal; Mason,Mekhi) PENALTY SLU Holding (Wilkinson,Adyn) 3 yards from SLU10 to SLU07. NO PLAY.",401757221101967801,0,0
