,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,LSU,Q1 15:0,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401752687101849903,0,0
1,LSU,Q1 15:0,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401752687101849903,0,0
2,LSU,Q1 14:55,1,10,Rush,75,3,Caden Durham run for 3 yds to the LSU 28,401752687101854401,0,0
3,LSU,Q1 14:31,2,7,Pass Reception,72,6,Garrett Nussmeier pass complete to Nic Anderson for 6 yds to the LSU 34,401752687101856801,0,0
4,LSU,Q1 14:12,3,1,Rush,66,2,Caden Durham run for 2 yds to the LSU 36 for a 1ST down,401752687101858701,0,0
5,LSU,Q1 13:35,1,10,Pass Interception Return,64,35,Garrett Nussmeier pass intercepted,401752687101866401,0,0
6,Louisiana Tech,Q1 13:29,1,10,Rush,29,1,Omiri Wiggins run for 1 yd to the LT 30,401752687101867001,0,0
7,Louisiana Tech,Q1 12:54,2,9,Pass Reception,30,8,Trey Kukuk pass complete to Marques Singleton Jr. for 8 yds to the LT 38,401752687101874501,0,0
8,Louisiana Tech,Q1 12:39,3,1,Pass Incompletion,38,0,Trey Kukuk pass incomplete to Omiri Wiggins,401752687101876001,0,0
9,Louisiana Tech,Q1 12:32,4,1,Punt,38,21,"John Hoyet Chance punt for 21 yds, punt out-of-bounds at the LSU 41",401752687101876701,0,0
10,LSU,Q1 12:27,1,10,Rush,59,4,Caden Durham run for 4 yds to the LSU 45,401752687101877201,0,0
11,LSU,Q1 11:45,2,6,Pass Reception,55,3,Garrett Nussmeier pass complete to Caden Durham for 3 yds to the LSU 48,401752687101885401,0,0
12,LSU,Q1 11:9,3,3,Pass Reception,52,11,Garrett Nussmeier pass complete to Zavion Thomas for 11 yds to the LT 41 for a 1ST down,401752687101889001,0,0
13,LSU,Q1 10:39,1,10,Rush,41,0,Caden Durham run for no gain to the LT 41,401752687101896001,0,0
14,LSU,Q1 10:1,2,10,Penalty,41,10,"(10:04) No Huddle-Shotgun Nussmeier,Garrett pass incomplete short middle to Johnson,Ju'Juan thrown to TECH38 PENALTY TECH Holding (Mason,Mekhi) 10 yards from TECH41 to TECH31, 1ST DOWN. NO PLAY.",401752687101899802,0,0
15,LSU,Q1 9:57,1,10,Penalty,31,-5,"(09:57) No Huddle-Shotgun Thomas,Zavion rush right for 1 yard gain to the TECH30 (Fields,Kolbe) PENALTY LSU Illegal Formation 5 yards from TECH31 to TECH36. NO PLAY.",401752687101904202,0,0
16,LSU,Q1 9:30,1,15,Pass Incompletion,36,0,Garrett Nussmeier pass incomplete to Zavion Thomas,401752687101906901,0,0
17,LSU,Q1 9:15,2,15,Pass Reception,36,2,Garrett Nussmeier pass complete to Aaron Anderson for 2 yds to the LT 38,401752687101908401,0,0
18,LSU,Q1 8:43,3,17,Pass Reception,38,4,Garrett Nussmeier pass complete to Nic Anderson for 4 yds to the LT 34,401752687101915601,0,0
19,LSU,Q1 8:12,4,13,Timeout,34,0,"Timeout LSU, clock 08:12",401752687101918701,0,0
20,LSU,Q1 8:6,4,13,Field Goal Missed,34,51,Damian Ramos 51 yd FG MISSED,401752687101919301,0,0
21,Louisiana Tech,Q1 7:56,1,10,Rush,34,17,Trey Kukuk run for 17 yds to the LSU 49 for a 1ST down,401752687101924301,0,0
22,Louisiana Tech,Q1 7:42,1,10,Rush,51,1,Clay Thevenin run for 1 yd to the LSU 48,401752687101925701,0,0
23,Louisiana Tech,Q1 7:16,2,9,Rush,52,-2,Trey Kukuk run for a loss of 2 yards to the 50 yard line,401752687101928301,0,0
24,Louisiana Tech,Q1 6:39,3,11,Timeout,50,0,"Timeout Louisiana Tech, clock 06:39",401752687101936001,0,0
25,Louisiana Tech,Q1 6:23,3,11,Pass Reception,50,6,Trey Kukuk pass complete to Eli Finley for 6 yds to the LSU 44,401752687101937601,0,0
26,Louisiana Tech,Q1 5:49,4,5,Punt,56,42,John Hoyet Chance punt for 42 yds,401752687101945001,0,0
27,LSU,Q1 5:43,1,10,Rush,98,2,Caden Durham run for 2 yds to the LSU 4,401752687101945601,0,0
28,LSU,Q1 4:58,2,8,Pass Incompletion,96,0,Garrett Nussmeier pass incomplete to Bauer Sharp,401752687101954101,0,0
29,LSU,Q1 4:40,3,8,Pass Reception,96,16,Garrett Nussmeier pass complete to Barion Brown for 16 yds to the LSU 20 for a 1ST down,401752687101955901,0,0
30,LSU,Q1 3:51,1,10,Pass Reception,80,15,Garrett Nussmeier pass complete to Zavion Thomas for 15 yds to the LSU 35 for a 1ST down,401752687101964801,0,0
31,LSU,Q1 3:28,1,10,Rush,65,1,Kaleb Jackson run for 1 yd to the LSU 36,401752687101967101,0,0
32,LSU,Q1 2:43,2,9,Pass Reception,64,9,Garrett Nussmeier pass complete to Barion Brown for 9 yds to the LSU 45 for a 1ST down,401752687101975601,0,0
33,LSU,Q1 2:8,1,10,Pass Incompletion,55,0,Garrett Nussmeier pass incomplete to Barion Brown,401752687101979101,0,0
34,LSU,Q1 2:3,2,10,Penalty,55,-5,"(02:07) No Huddle-Shotgun Johnson,Ju'Juan rush left for 5 yards gain to the LSU50 (Mason,Mekhi; Cobbs,Joshua) PENALTY LSU Illegal Shift (Anderson,Nic) 5 yards from LSU45 to LSU40. NO PLAY.",401752687101979602,0,0
35,LSU,Q1 1:29,2,15,Rush,60,48,Zavion Thomas run for 48 yds to the LT 12 for a 1ST down,401752687101987001,0,0
36,LSU,Q1 0:59,1,10,Rush,12,5,Caden Durham run for 5 yds to the LT 7,401752687101994001,0,0
37,LSU,Q1 0:18,2,5,Pass Incompletion,7,0,Garrett Nussmeier pass incomplete to Aaron Anderson,401752687101998101,0,0
38,LSU,Q1 0:12,3,5,Passing Touchdown,7,7,Nic Anderson 7 Yd pass from Garrett Nussmeier (Damian Ramos Kick),401752687104999903,7,0
39,Louisiana Tech,Q1 0:9,1,10,Kickoff,50,-17,Aeron Burrell kickoff for 17 yds,401752687101999001,14,0
40,Louisiana Tech,Q1 0:0,1,10,Pass Reception,33,5,Trey Kukuk pass complete to Fred Robertson for 5 yds to the LT 38,401752687101999901,0,14
41,Louisiana Tech,Q1 0:0,0,10,End Period,33,5,End of 1st Quarter,401752687101999902,0,14
42,Louisiana Tech,Q2 14:55,2,5,Rush,38,1,Andrew Burnette run for 1 yd to the LT 39,401752687102854401,0,14
43,Louisiana Tech,Q2 14:23,3,4,Pass Reception,39,4,Trey Kukuk pass complete to Andrew Burnette for 4 yds to the LT 43 for a 1ST down,401752687102857601,0,14
44,Louisiana Tech,Q2 13:50,1,10,Pass Reception,43,9,Trey Kukuk pass complete to Marques Singleton Jr. for 9 yds to the LSU 48,401752687102864901,0,14
45,Louisiana Tech,Q2 13:33,2,1,Rush,52,1,Omiri Wiggins run for 1 yd to the LSU 47 for a 1ST down,401752687102866601,0,14
46,Louisiana Tech,Q2 12:55,1,10,Timeout,53,0,"Timeout Louisiana Tech, clock 12:55",401752687102874401,0,14
47,Louisiana Tech,Q2 12:46,1,10,Pass Reception,53,5,Trey Kukuk pass complete to Dedrick Latulas for 5 yds to the LSU 42,401752687102875301,0,14
48,Louisiana Tech,Q2 12:21,2,5,Pass Incompletion,58,0,Trey Kukuk pass incomplete to Devin Gandy,401752687102877801,0,14
49,Louisiana Tech,Q2 12:5,3,5,Pass Reception,58,1,Trey Kukuk pass complete to Omiri Wiggins for 1 yd to the LSU 41,401752687102879401,0,14
50,Louisiana Tech,Q2 11:31,4,4,Punt,59,32,"John Hoyet Chance punt for 32 yds, fair catch by Zavion Thomas at the LSU 9",401752687102886801,0,14
51,LSU,Q2 11:16,1,10,Rush,91,-1,Zavion Thomas run for a loss of 1 yard to the LSU 8,401752687102888301,14,0
52,LSU,Q2 10:39,2,11,Pass Reception,92,14,Garrett Nussmeier pass complete to Barion Brown for 14 yds to the LSU 22 for a 1ST down,401752687102896001,14,0
53,LSU,Q2 10:11,1,10,Pass Reception,78,8,Garrett Nussmeier pass complete to Bauer Sharp for 8 yds to the LSU 30,401752687102898801,14,0
54,LSU,Q2 9:33,2,2,Pass Reception,70,17,"Garrett Nussmeier pass complete to Aaron Anderson for 2 yds to the LSU 32 for a 1ST down Louisiana Tech Penalty, (15 Yards) to the LSU 47 for a 1ST down",401752687102906602,14,0
55,LSU,Q2 9:17,1,10,Pass Incompletion,53,0,Garrett Nussmeier pass incomplete to Bauer Sharp,401752687102908201,14,0
56,LSU,Q2 9:9,2,10,Pass Reception,53,5,Garrett Nussmeier pass complete to Aaron Anderson for 5 yds to the LT 48,401752687102909001,14,0
57,LSU,Q2 8:23,3,5,Pass Reception,48,5,Garrett Nussmeier pass complete to Aaron Anderson for 5 yds to the LT 43 for a 1ST down,401752687102917601,14,0
58,LSU,Q2 7:54,1,10,Pass Incompletion,43,0,Garrett Nussmeier pass incomplete to Aaron Anderson,401752687102924501,14,0
59,LSU,Q2 7:54,2,10,Rush,43,6,Zavion Thomas run for 6 yds to the LT 37,401752687102924502,14,0
60,LSU,Q2 7:25,3,4,Penalty,37,15,"(07:31) No Huddle-Shotgun Nussmeier,Garrett pass incomplete deep left to Hilton Jr.,Chris thrown to TECH06 PENALTY TECH Pass Interference (Shelby Jr.,Jhamal) 15 yards from TECH37 to TECH22, 1ST DOWN. NO PLAY.",401752687102927402,14,0
61,LSU,Q2 7:20,1,10,Penalty,22,15,"(07:25) No Huddle-Shotgun Nussmeier,Garrett pass incomplete short middle to Thomas,Zavion thrown to TECH07, 1ST DOWN, PENALTY TECH Pass Interference (Fields,Jacob) 15 yards from TECH22 to TECH07, 1ST DOWN. NO PLAY.",401752687102927902,14,0
62,LSU,Q2 7:14,1,7,Rush,7,1,Caden Durham run for 1 yd to the LT 6,401752687102928501,14,0
63,LSU,Q2 6:35,2,6,Pass Incompletion,6,0,Garrett Nussmeier pass incomplete to Trey'Dez Green,401752687102936401,14,0
64,LSU,Q2 6:35,3,6,Timeout,6,0,"Timeout LSU, clock 06:35",401752687102936402,14,0
65,LSU,Q2 6:28,3,6,Pass Incompletion,6,0,Garrett Nussmeier pass incomplete to Kyle Parker,401752687102937101,14,0
