,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,New Mexico State,Q1 15:0,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757257101849903,0,0
1,New Mexico State,Q1 15:0,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757257101849903,0,0
2,New Mexico State,Q1 14:57,1,10,Pass Incompletion,75,0,Logan Fife pass incomplete to Donovan Faupel,401757257101854201,0,0
3,New Mexico State,Q1 14:48,2,10,Rush,75,12,Kadarius Calloway run for 12 yds to the NMSU 37 for a 1ST down,401757257101855101,0,0
4,New Mexico State,Q1 14:26,1,10,Rush,63,0,Kadarius Calloway run for no gain to the NMSU 37,401757257101857301,0,0
5,New Mexico State,Q1 13:44,2,10,Pass Reception,63,7,Logan Fife pass complete to Adam Parks for 7 yds to the NMSU 44,401757257101865501,0,0
6,New Mexico State,Q1 13:12,3,3,Pass Reception,56,15,Logan Fife pass complete to Gavin Harris for 15 yds to the LT 41 for a 1ST down,401757257101868701,0,0
7,New Mexico State,Q1 12:37,1,10,Pass Reception,41,5,Logan Fife pass complete to Lukas Ungar for 5 yds to the LT 36,401757257101876201,0,0
8,New Mexico State,Q1 12:9,2,5,Rush,36,0,Isaiah Rudison run for no gain to the LT 36,401757257101879001,0,0
9,New Mexico State,Q1 11:37,3,5,Pass Incompletion,36,0,Logan Fife pass incomplete to PJ Johnson III,401757257101886201,0,0
10,New Mexico State,Q1 11:31,4,5,Field Goal Missed,36,53,Ryan Hawk 53 yd FG MISSED,401757257101886801,0,0
11,Louisiana Tech,Q1 11:8,1,10,Pass Reception,36,25,Blake Baker pass complete to Devin Gandy for 25 yds to the NMSU 39 for a 1ST down,401757257101889101,0,0
12,Louisiana Tech,Q1 10:44,1,10,Rush,61,0,Blake Baker run for no gain to the NMSU 39,401757257101895501,0,0
13,Louisiana Tech,Q1 10:31,2,10,Penalty,61,-5,"(10:43) Shotgun Baker,Blake pass complete deep middle to Gandy,Devin caught at NMSU08, for 31 yards to the NMSU08 (Charles,Josiah) PENALTY LAT Ineligible Downfield on Pass (Weathers,Bryson) 5 yards from NMSU39 to NMSU44. NO PLAY.",401757257101896801,0,0
14,Louisiana Tech,Q1 10:2,2,15,Rush,56,8,Omiri Wiggins run for 8 yds to the NMSU 36,401757257101899701,0,0
15,Louisiana Tech,Q1 9:56,3,7,Pass Incompletion,64,0,Blake Baker pass incomplete to Dedrick Latulas,401757257101904301,0,0
16,Louisiana Tech,Q1 9:50,4,7,Field Goal Good,64,55,John Hoyet Chance 55 yd FG GOOD,401757257101904901,3,0
17,New Mexico State,Q1 9:50,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757257101904902,3,0
18,New Mexico State,Q1 9:50,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757257101904902,3,0
19,New Mexico State,Q1 9:43,1,10,Rush,75,-3,Kadarius Calloway run for a loss of 3 yards to the NMSU 22,401757257101905601,0,3
20,New Mexico State,Q1 9:2,2,13,Pass Reception,78,32,Logan Fife pass complete to PJ Johnson III for 32 yds to the LT 46 for a 1ST down,401757257101909701,0,3
21,New Mexico State,Q1 8:48,1,10,Rush,46,0,Kadarius Calloway run for no gain to the LT 46,401757257101915101,0,3
22,New Mexico State,Q1 8:18,2,10,Pass Incompletion,46,0,Logan Fife pass incomplete to Kadarius Calloway,401757257101918101,0,3
23,New Mexico State,Q1 8:14,3,10,Pass Incompletion,46,0,Logan Fife pass incomplete to Gavin Harris,401757257101918501,0,3
24,New Mexico State,Q1 8:4,4,10,Punt,46,37,Max Dean punt for 37 yds,401757257101919501,0,3
25,Louisiana Tech,Q1 7:57,1,10,Penalty,9,15,"(08:04) Shotgun Baker,Blake pass intercepted by Charles,Josiah at LAT47 PENALTY NMSU Pass Interference (Charles,Josiah) 15 yards from LAT09 to LAT24, 1ST DOWN. NO PLAY.",401757257101924201,3,0
26,Louisiana Tech,Q1 7:51,1,10,Rush,24,3,Clay Thevenin run for 3 yds to the LT 27,401757257101924801,3,0
27,Louisiana Tech,Q1 7:18,2,7,Pass Reception,27,6,Blake Baker pass complete to David Pierro for 6 yds to the LT 33,401757257101928101,3,0
28,Louisiana Tech,Q1 7:7,3,1,Rush,33,4,Omiri Wiggins run for 4 yds to the LT 37 for a 1ST down,401757257101929201,3,0
29,Louisiana Tech,Q1 6:45,1,10,Rush,37,1,Clay Thevenin run for 1 yd to the LT 38,401757257101935401,3,0
30,Louisiana Tech,Q1 6:16,2,9,Rush,38,22,Clay Thevenin run for 22 yds to the NMSU 40 for a 1ST down,401757257101938301,3,0
31,Louisiana Tech,Q1 6:2,1,10,Rush,60,0,Clay Thevenin run for no gain to the NMSU 40,401757257101939701,3,0
32,Louisiana Tech,Q1 5:36,2,10,Passing Touchdown,60,40,"Blake Baker pass complete to Jalen Mickens for 40 yds for a TD Louisiana Tech Penalty, UNS: Unsportsmanlike Conduct (Devin Gandy) to the NMSU 0 (Drew Henderson KICK)",401757257101946301,10,0
33,New Mexico State,Q1 5:36,1,10,Kickoff,20,-78,"John Hoyet Chance kickoff for 78 yds , Dijon Stanley return for 19 yds to the NMSU 39 Louisiana Tech Penalty, Fighting (John Hoyet Chance) to the 50 yard line",401757257101946303,3,0
34,New Mexico State,Q1 5:36,1,10,Kickoff Return (Offense),98,19,"John Hoyet Chance kickoff for 78 yds , Dijon Stanley return for 19 yds to the NMSU 39 Louisiana Tech Penalty, Fighting (John Hoyet Chance) to the 50 yard line",401757257101946303,3,0
35,New Mexico State,Q1 3:43,1,10,Pass Incompletion,50,0,Logan Fife pass incomplete to Dijon Stanley,401757257101965601,0,10
36,New Mexico State,Q1 3:43,2,10,Penalty,50,15,"Shotgun Fife,Logan pass incomplete deep left to Malone,Brodrick thrown to LAT28 PENALTY LAT Roughing The Passer (Mayfield,Jadon) 15 yards from NMSU50 to LAT35, 1ST DOWN. NO PLAY.",401757257101965602,0,10
37,New Mexico State,Q1 3:43,1,10,Pass Incompletion,35,0,Logan Fife pass incomplete to Donovan Faupel,401757257101965603,0,10
38,New Mexico State,Q1 3:43,2,10,Penalty,35,-5,"Shotgun Stanley,Dijon rush middle for 1 yard gain to the LAT34 (Mayfield,Jadon; Mason,Mekhi) PENALTY NMSU False Start (Malone,Brodrick) 5 yards from LAT35 to LAT40. NO PLAY.",401757257101965604,0,10
39,New Mexico State,Q1 3:43,2,15,Rush,40,7,Logan Fife run for 7 yds to the LT 33,401757257101965605,0,10
40,New Mexico State,Q1 3:43,3,8,Timeout,33,0,"Timeout New Mexico State, clock 03:43",401757257101965606,0,10
41,New Mexico State,Q1 1:4,3,8,Field Goal Missed,33,43,Ryan Hawk 43 yd FG MISSED,401757257101989501,0,10
42,Louisiana Tech,Q1 1:4,1,10,Rush,33,2,Trey Kukuk run for 2 yds to the LT 35,401757257101989503,10,0
43,Louisiana Tech,Q1 1:4,2,8,Rush,35,3,Amani Givens run for 3 yds to the LT 38,401757257101989504,10,0
44,Louisiana Tech,Q1 1:4,3,5,Penalty,38,-5,"PENALTY LAT False Start (Bannister,Kenneth) 5 yards from LAT38 to LAT33. NO PLAY.",401757257101989505,10,0
45,Louisiana Tech,Q1 0:0,3,10,Pass Reception,33,56,Blake Baker pass complete to David Pierro for 56 yds to the NMSU 11 for a 1ST down,401757257101999901,10,0
46,Louisiana Tech,Q1 0:0,0,10,End Period,33,56,End of 1st Quarter,401757257101999902,10,0
47,Louisiana Tech,Q2 15:0,1,10,Pass Incompletion,89,0,Blake Baker pass incomplete,401757257102849902,10,0
48,Louisiana Tech,Q2 14:49,2,10,Rushing Touchdown,89,11,Andrew Burnette run for 11 yds for a TD (Drew Henderson KICK),401757257102855001,17,0
49,New Mexico State,Q2 14:49,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757257102855003,17,0
50,New Mexico State,Q2 14:49,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757257102855003,17,0
51,New Mexico State,Q2 14:49,1,10,Pass Incompletion,75,0,Logan Fife pass incomplete to Donovan Faupel,401757257102855005,0,17
52,New Mexico State,Q2 14:49,2,10,Rush,75,3,Kadarius Calloway run for 3 yds to the NMSU 28,401757257102855006,0,17
53,New Mexico State,Q2 14:49,3,7,Pass Incompletion,72,0,Logan Fife pass incomplete to PJ Johnson III,401757257102855007,0,17
54,New Mexico State,Q2 13:51,4,7,Punt,72,47,"Max Dean punt for 47 yds, fair catch by Dedrick Latulas at the LT 25",401757257102864801,0,17
55,Louisiana Tech,Q2 13:51,1,10,Penalty,25,-10,"Louisiana Tech Penalty, Offensive Holding (-10 Yards) to the LT 18",401757257102864803,17,0
56,Louisiana Tech,Q2 13:51,1,17,Rush,18,11,Omiri Wiggins run for 11 yds to the LT 29,401757257102864804,17,0
57,Louisiana Tech,Q2 13:51,2,6,Rush,29,-1,Omiri Wiggins run for a loss of 1 yard to the LT 28,401757257102864805,17,0
58,Louisiana Tech,Q2 13:51,3,7,Penalty,28,10,"Shotgun Baker,Blake pass incomplete short left to Finley,Eli thrown to LAT45 PENALTY NMSU Holding (Hale,Armahn) 10 yards from LAT28 to LAT38, 1ST DOWN. NO PLAY.",401757257102864806,17,0
59,Louisiana Tech,Q2 13:51,1,10,Rush,38,0,Andrew Burnette run for no gain to the LT 38,401757257102864807,17,0
60,Louisiana Tech,Q2 13:51,2,10,Rush,38,0,Blake Baker run for no gain to the LT 38,401757257102864808,17,0
61,Louisiana Tech,Q2 13:51,3,10,Pass Reception,38,13,Blake Baker pass complete to Marques Singleton Jr. for 13 yds to the NMSU 49 for a 1ST down,401757257102864809,17,0
62,Louisiana Tech,Q2 13:51,1,10,Rush,51,2,Amani Givens run for 2 yds to the NMSU 47,401757257102864810,17,0
63,Louisiana Tech,Q2 13:51,2,8,Rush,53,5,Omiri Wiggins run for 5 yds to the NMSU 42,401757257102864811,17,0
64,Louisiana Tech,Q2 10:23,3,3,Passing Touchdown,58,42,Trey Kukuk pass complete to Marlion Jackson for 42 yds for a TD (Drew Henderson KICK),401757257102897601,24,0
65,New Mexico State,Q2 10:23,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757257102897603,24,0
66,New Mexico State,Q2 10:23,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757257102897603,24,0
67,New Mexico State,Q2 10:23,1,10,Pass Reception,75,34,Logan Fife pass complete to Gavin Harris for 34 yds to the LT 41 for a 1ST down,401757257102897605,0,24
68,New Mexico State,Q2 9:46,1,10,Passing Touchdown,41,41,Logan Fife pass complete to Brodrick Malone for 41 yds for a TD (Ryan Hawk KICK),401757257102905301,7,24
69,Louisiana Tech,Q2 9:40,1,10,Kickoff,65,-60,"Ryan Hawk kickoff for 60 yds , Fred Robertson return for 9 yds to the LT 14",401757257102905901,7,24
70,Louisiana Tech,Q2 9:40,1,10,Kickoff Return (Offense),5,9,"Ryan Hawk kickoff for 60 yds , Fred Robertson return for 9 yds to the LT 14",401757257102905901,7,24
71,Louisiana Tech,Q2 9:40,1,10,Rush,14,8,Andrew Burnette run for 8 yds to the LT 22,401757257102905903,24,7
72,Louisiana Tech,Q2 9:40,2,2,Rush,22,6,Andrew Burnette run for 6 yds to the LT 28 for a 1ST down,401757257102905904,24,7
73,Louisiana Tech,Q2 9:40,1,10,Rush,28,6,Omiri Wiggins run for 6 yds to the LT 34,401757257102905905,24,7
74,Louisiana Tech,Q2 9:40,2,4,Rush,34,7,Omiri Wiggins run for 7 yds to the LT 41 for a 1ST down,401757257102905906,24,7
75,Louisiana Tech,Q2 9:40,1,10,Rush,41,7,Blake Baker run for 7 yds to the LT 48,401757257102905907,24,7
76,Louisiana Tech,Q2 9:40,2,3,Rush,48,10,Trey Kukuk run for 10 yds to the NMSU 42 for a 1ST down,401757257102905908,24,7
77,Louisiana Tech,Q2 9:40,1,10,Rush,58,12,Clay Thevenin run for 12 yds to the NMSU 30 for a 1ST down,401757257102905909,24,7
