,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,UTEP,Q1 15:0,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757272101849903,0,0
1,UTEP,Q1 15:0,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757272101849903,0,0
2,UTEP,Q1 14:49,1,10,Pass Reception,75,4,Malachi Nelson pass complete to Hahsaun Wilson for 4 yds to the UTEP 29,401757272101855001,0,0
3,UTEP,Q1 14:23,2,6,Pass Reception,71,0,Malachi Nelson pass complete to Kenny Odom for no gain to the UTEP 29,401757272101857601,0,0
4,UTEP,Q1 13:59,3,6,Pass Reception,71,6,Malachi Nelson pass complete to Kenny Odom for 6 yds to the UTEP 35 for a 1ST down,401757272101864001,0,0
5,UTEP,Q1 13:25,1,10,Rush,65,3,Malachi Nelson run for 3 yds to the UTEP 38,401757272101867401,0,0
6,UTEP,Q1 13:1,2,7,Rush,62,2,Hahsaun Wilson run for 2 yds to the UTEP 40,401757272101869801,0,0
7,UTEP,Q1 12:22,3,5,Rush,60,8,Hahsaun Wilson run for 8 yds to the UTEP 48 for a 1ST down,401757272101877701,0,0
8,UTEP,Q1 11:59,1,10,Pass Incompletion,52,0,Malachi Nelson pass incomplete,401757272101884001,0,0
9,UTEP,Q1 11:56,2,10,Penalty,52,5,"(11:59) No Huddle-Shotgun Nelson,Malachi pass incomplete short middle to Williams,Darnell thrown to LATECH36 PENALTY LATECH Offside (Sims,Caleb) 5 yards from UTEP48 to LATECH47. NO PLAY.",401757272101884301,0,0
10,UTEP,Q1 11:54,2,5,Pass Incompletion,47,0,Malachi Nelson pass incomplete to Trevon Tate,401757272101884501,0,0
11,UTEP,Q1 11:47,3,5,Rush,47,12,Hahsaun Wilson run for 12 yds to the LT 35 for a 1ST down,401757272101885201,0,0
12,UTEP,Q1 11:28,1,10,Rush,35,6,Malachi Nelson run for 6 yds to the LT 29,401757272101887101,0,0
13,UTEP,Q1 11:1,2,4,Pass Reception,29,1,Malachi Nelson pass complete to Josh Schuchts for 1 yd to the LT 28,401757272101889801,0,0
14,UTEP,Q1 10:38,3,3,Pass Interception Return,28,-12,Malachi Nelson pass intercepted Sifa Leota return for 5 yds to the LT 40,401757272101896101,0,0
15,Louisiana Tech,Q1 10:33,1,10,Pass Incompletion,40,0,Blake Baker pass incomplete to Eli Finley,401757272101896601,0,0
