,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Kennesaw State,Q1 15:0,1,10,Kickoff,35,-65,John Hoyet Chance kickoff for 65 yds for a touchback,401757280101849902,0,0
1,Kennesaw State,Q1 15:0,1,10,Touchback,100,25,John Hoyet Chance kickoff for 65 yds for a touchback,401757280101849902,0,0
2,Kennesaw State,Q1 15:0,1,10,Penalty,75,-5,"Kennesaw State Penalty, Delay of Game (-5 Yards) to the KENN 20",401757280101849903,0,0
3,Kennesaw State,Q1 14:45,1,15,Pass Reception,80,-4,Dexter Williams II pass complete to Gabriel Benyard for a loss of 4 yards to the KENN 16,401757280101855401,0,0
4,Kennesaw State,Q1 14:14,2,19,Rush,84,6,Gabriel Benyard run for 6 yds to the KENN 22,401757280101858501,0,0
5,Kennesaw State,Q1 13:43,3,13,Pass Reception,78,5,Dexter Williams II pass complete to Gerard Bullock Jr. for 5 yds to the KENN 27,401757280101865601,0,0
6,Kennesaw State,Q1 13:13,4,8,Penalty,73,-5,"Kennesaw State Penalty, Illegal Formation (-5 Yards) to the KENN 22",401757280101868601,0,0
7,Kennesaw State,Q1 13:8,4,3,Punt,78,48,"Joshua Huiet punt for 48 yds, fair catch by Dedrick Latulas at the LT 30",401757280101869101,0,0
8,Louisiana Tech,Q1 13:0,1,10,Rush,30,6,Clay Thevenin run for 6 yds to the LT 36,401757280101869901,0,0
9,Louisiana Tech,Q1 12:35,2,4,Rush,36,3,Clay Thevenin run for 3 yds to the LT 39,401757280101876401,0,0
10,Louisiana Tech,Q1 12:2,3,1,Rush,39,3,Blake Baker run for 3 yds to the LT 42 for a 1ST down,401757280101879701,0,0
11,Louisiana Tech,Q1 11:35,1,10,Pass Reception,42,2,Blake Baker pass complete to Marques Singleton Jr. for 2 yds to the LT 44,401757280101886401,0,0
12,Louisiana Tech,Q1 11:11,2,8,Pass Incompletion,44,0,Blake Baker pass incomplete,401757280101888801,0,0
13,Louisiana Tech,Q1 10:58,3,8,Pass Reception,44,17,Blake Baker pass complete to Clay Thevenin for 17 yds to the KENN 39 for a 1ST down,401757280101894101,0,0
14,Louisiana Tech,Q1 10:42,1,10,Rush,61,6,Blake Baker run for 6 yds to the KENN 33,401757280101895701,0,0
15,Louisiana Tech,Q1 10:10,2,4,Rush,67,8,Omiri Wiggins run for 8 yds to the KENN 25 for a 1ST down,401757280101898901,0,0
16,Louisiana Tech,Q1 9:45,1,10,Rush,75,-2,Omiri Wiggins run for a loss of 2 yards to the KENN 27,401757280101905401,0,0
17,Louisiana Tech,Q1 9:9,2,12,Pass Reception,73,3,Blake Baker pass complete to Omiri Wiggins for 3 yds to the KENN 24,401757280101909001,0,0
18,Louisiana Tech,Q1 8:45,3,9,Rush,76,21,Blake Baker run for 21 yds to the KENN 3 for a 1ST down,401757280101915401,0,0
19,Louisiana Tech,Q1 8:8,1,3,Rush,97,1,Blake Baker run for 1 yd to the KENN 2,401757280101919101,0,0
20,Louisiana Tech,Q1 7:45,2,0,Penalty,98,1,"Kukuk, Trey rush for 1 yard to the KENN1, PENALTY KENN neutral zone infraction 1 yards to the KENN1, NO PLAY.",401757280101925401,0,0
21,Louisiana Tech,Q1 7:12,2,1,Rushing Touchdown,99,1,Omiri Wiggins run for 1 yd for a TD (Drew Henderson KICK),401757280101928701,7,0
22,Kennesaw State,Q1 7:12,2,8,Kickoff,35,-63,"John Hoyet Chance kickoff for 63 yds , Kody Jones return for 10 yds to the KENN 6 Kody Jones fumbled, recovered by KENN Kody Jones  Kennesaw State Penalty, Offensive Holding (6 Yards) to the KENN 6",401757280101928703,7,0
23,Kennesaw State,Q1 7:12,2,8,Kickoff Return (Offense),98,10,"John Hoyet Chance kickoff for 63 yds , Kody Jones return for 10 yds to the KENN 6 Kody Jones fumbled, recovered by KENN Kody Jones  Kennesaw State Penalty, Offensive Holding (6 Yards) to the KENN 6",401757280101928703,7,0
24,Kennesaw State,Q1 6:50,1,10,Rush,94,1,Coleman Bennett run for 1 yd to the KENN 7,401757280101934901,0,7
25,Kennesaw State,Q1 6:26,2,9,Pass Reception,93,5,Dexter Williams II pass complete to Gabriel Benyard for 5 yds to the KENN 12,401757280101937302,0,7
26,Kennesaw State,Q1 6:6,3,4,Pass Incompletion,88,0,Dexter Williams II pass incomplete,401757280101939301,0,7
27,Kennesaw State,Q1 5:52,4,4,Punt,88,56,"Joshua Huiet punt for 56 yds , Dedrick Latulas returns for 6 yds to the LT 38",401757280101944701,0,7
28,Louisiana Tech,Q1 5:52,4,4,Punt Return,32,6,"Joshua Huiet punt for 56 yds , Dedrick Latulas returns for 6 yds to the LT 38",401757280101944701,0,7
29,Louisiana Tech,Q1 5:46,1,10,Pass Incompletion,38,0,Blake Baker pass incomplete,401757280101945301,7,0
30,Louisiana Tech,Q1 5:35,2,10,Rush,38,2,Blake Baker run for 2 yds to the LT 40,401757280101946401,7,0
31,Louisiana Tech,Q1 4:59,3,8,Pass Incompletion,40,0,Blake Baker pass incomplete,401757280101954001,7,0
32,Louisiana Tech,Q1 4:51,4,8,Punt,40,55,"John Hoyet Chance punt for 55 yds, punt out-of-bounds at the KENN 5",401757280101954801,7,0
33,Kennesaw State,Q1 4:44,1,10,Pass Reception,95,12,Dexter Williams II pass complete to Preston Clemmer for 12 yds to the KENN 17 for a 1ST down,401757280101955501,0,7
34,Kennesaw State,Q1 4:23,1,10,Penalty,83,15,"Williams II, Dexter pass incomplete, PENALTY LATECH roughing passer 15 yards to the KENN32, NO PLAY, 1ST DOWN KENN.",401757280101957601,0,7
35,Kennesaw State,Q1 4:12,1,10,Rush,68,12,Coleman Bennett run for 12 yds to the KENN 44 for a 1ST down,401757280101958701,0,7
36,Kennesaw State,Q1 3:58,1,10,Sack,56,-5,Dexter Williams II sacked by Zheric Hill for a loss of 5 yards to the KENN 39,401757280101964101,0,7
37,Kennesaw State,Q1 3:55,2,15,Timeout,61,0,"Timeout Kennesaw State, clock 03:55",401757280101964401,0,7
38,Kennesaw State,Q1 3:48,2,15,Pass Incompletion,61,0,Dexter Williams II pass incomplete,401757280101965101,0,7
39,Kennesaw State,Q1 3:33,3,15,Pass Reception,61,2,Dexter Williams II pass complete to Gabriel Benyard for 2 yds to the KENN 41,401757280101966601,0,7
40,Kennesaw State,Q1 3:4,4,13,Punt,59,39,"Joshua Huiet punt for 39 yds, fair catch by Dedrick Latulas at the LT 20",401757280101969501,0,7
41,Louisiana Tech,Q1 2:54,1,10,Pass Reception,20,15,Blake Baker pass complete to Devin Gandy for 15 yds to the LT 35 for a 1ST down,401757280101974501,7,0
42,Louisiana Tech,Q1 2:34,1,10,Rush,35,10,Omiri Wiggins run for 10 yds to the LT 45 for a 1ST down,401757280101976501,7,0
43,Louisiana Tech,Q1 2:22,1,10,Pass Reception,45,1,Blake Baker pass complete to Clay Thevenin for 1 yd to the LT 46,401757280101977701,7,0
44,Louisiana Tech,Q1 1:48,2,9,Rush,46,2,Blake Baker run for 2 yds to the LT 48,401757280101985101,7,0
45,Louisiana Tech,Q1 0:58,3,7,Pass Reception,48,8,Blake Baker pass complete to Omiri Wiggins for 8 yds to the KENN 44 for a 1ST down,401757280101994101,7,0
46,Louisiana Tech,Q1 0:29,1,10,Rush,56,0,Omiri Wiggins run for no gain to the KENN 44,401757280101997001,7,0
47,Louisiana Tech,Q1 0:0,2,10,Pass Incompletion,56,0,Blake Baker pass incomplete,401757280101999901,7,0
48,Louisiana Tech,Q1 0:0,0,10,End Period,56,0,End of 1st Quarter,401757280101999902,7,0
49,Louisiana Tech,Q2 14:55,3,10,Pass Incompletion,56,0,Blake Baker pass incomplete,401757280102854401,7,0
50,Louisiana Tech,Q2 14:45,4,10,Punt,56,36,"John Hoyet Chance punt for 36 yds, fair catch by Gabriel Benyard at the KENN 8",401757280102855401,7,0
51,Kennesaw State,Q2 14:20,1,10,Pass Reception,92,7,Dexter Williams II pass complete to Lyndon Ravare for 7 yds to the KENN 15,401757280102857901,0,7
52,Kennesaw State,Q2 14:8,2,3,Rush,85,5,Coleman Bennett run for 5 yds to the KENN 20 for a 1ST down,401757280102859101,0,7
53,Kennesaw State,Q2 13:58,1,10,Rush,80,0,Coleman Bennett run for no gain to the KENN 20,401757280102864101,0,7
54,Kennesaw State,Q2 13:29,2,10,Pass Incompletion,80,0,Dexter Williams II pass incomplete,401757280102867001,0,7
55,Kennesaw State,Q2 13:14,3,10,Pass Reception,80,22,Dexter Williams II pass complete to Christian Moss for 22 yds to the KENN 42 for a 1ST down,401757280102868501,0,7
56,Kennesaw State,Q2 12:45,1,10,Rush,58,16,Gabriel Benyard run for 16 yds to the LT 42 for a 1ST down,401757280102875401,0,7
57,Kennesaw State,Q2 12:9,1,10,Rush,42,2,Dexter Williams II run for 2 yds to the LT 40,401757280102879001,0,7
58,Kennesaw State,Q2 11:38,2,8,Pass Incompletion,40,0,Dexter Williams II pass incomplete,401757280102886101,0,7
59,Kennesaw State,Q2 11:11,3,8,Pass Reception,40,8,Dexter Williams II pass complete to Clayton Coppock for 8 yds to the LT 32 for a 1ST down,401757280102888801,0,7
60,Kennesaw State,Q2 10:50,1,10,Rush,32,2,Chase Belcher run for 2 yds to the LT 30,401757280102894901,0,7
61,Kennesaw State,Q2 10:30,2,8,Pass Reception,30,5,Dexter Williams II pass complete to Clayton Coppock for 5 yds to the LT 25,401757280102896901,0,7
62,Kennesaw State,Q2 9:55,3,3,Pass Reception,25,13,Dexter Williams II pass complete to Gerard Bullock Jr. for 13 yds to the LT 12 for a 1ST down,401757280102904401,0,7
63,Kennesaw State,Q2 9:14,1,10,Rush,12,4,Coleman Bennett run for 4 yds to the LT 8,401757280102908501,0,7
64,Kennesaw State,Q2 8:40,2,6,Rush,8,2,Coleman Bennett run for 2 yds to the LT 6,401757280102915901,0,7
65,Kennesaw State,Q2 8:3,3,4,Passing Touchdown,6,6,Dexter Williams II pass complete to Clayton Coppock for 6 yds for a TD (Britton Williams KICK),401757280102919601,7,7
66,Louisiana Tech,Q2 8:3,3,4,Kickoff,65,-62,"Britton Williams kickoff for 62 yds , Devin Gandy return for 22 yds to the LT 25",401757280102919603,7,7
67,Louisiana Tech,Q2 8:3,3,4,Kickoff Return (Offense),3,22,"Britton Williams kickoff for 62 yds , Devin Gandy return for 22 yds to the LT 25",401757280102919603,7,7
68,Louisiana Tech,Q2 7:47,1,10,Rush,25,4,Clay Thevenin run for 4 yds to the LT 29,401757280102925201,7,7
69,Louisiana Tech,Q2 7:30,2,6,Pass Incompletion,29,0,Trey Kukuk pass incomplete,401757280102926901,7,7
70,Louisiana Tech,Q2 7:7,3,6,Pass Reception,29,11,Trey Kukuk pass complete to Marlion Jackson for 11 yds to the LT 40 for a 1ST down,401757280102929201,7,7
