,offense,clock,down,distance,type,start,gained,text,id,offense_score,defense_score
0,Western Kentucky,Q1 15:0,1,10,Kickoff,35,-65,"(00:16) #48 J.Chance kickoff 65 yards to the WKU00, Touchback",4017572863,0,0
1,Western Kentucky,Q1 15:0,1,10,Touchback,100,25,"(00:16) #48 J.Chance kickoff 65 yards to the WKU00, Touchback",4017572863,0,0
2,Western Kentucky,Q1 14:43,1,10,Rush,75,-4,(14:52) Shotgun #21 M.Parrish rush middle for 4 yards loss to the WKU21 (#42 S.Leota; #22 J.Mayfield),40175728612,0,0
3,Western Kentucky,Q1 14:6,2,14,Pass Reception,79,15,"(14:28) Shotgun #16 R.Tisdale Jr. pass complete short right to #21 M.Parrish caught at WKU20, for 15 yards to the WKU36 (#9 M.Mason), 1ST DOWN",40175728616,0,0
4,Western Kentucky,Q1 13:27,1,10,Rush,58,13,"(13:32) Shotgun #21 M.Parrish rush left for 13 yards gain to the WKU49 (#8 J.Fields), 1ST DOWN",40175728621,0,0
5,Western Kentucky,Q1 13:7,2,3,Rush,51,0,(13:17) Shotgun #16 R.Tisdale Jr. rush right for 0 yards to the WKU49 (#42 S.Leota),40175728625,0,0
6,Western Kentucky,Q1 12:33,3,3,Pass Reception,51,2,"(12:52) Shotgun #16 R.Tisdale Jr. pass complete short right to #19 L.Howard caught at LAT48, for 2 yards to the LAT49 (#22 J.Mayfield)",40175728629,0,0
7,Western Kentucky,Q1 12:1,4,1,Pass Reception,49,17,"(12:11) Shotgun #16 R.Tisdale Jr. pass complete short right to #4 C.Flowers caught at LAT45, for 17 yards to the LAT32 (#8 J.Fields), 1ST DOWN",40175728634,0,0
8,Western Kentucky,Q1 11:30,1,10,Rush,32,-8,(11:37) Shotgun #0 M.Henry rush left for 8 yards loss to the LAT40 (#1 M.Richard),40175728639,0,0
9,Western Kentucky,Q1 10:49,2,18,Pass Reception,40,11,"(11:02) Shotgun #16 R.Tisdale Jr. pass complete short right to #2 K.Hutchinson caught at LAT42, for 11 yards to the LAT29 (#8 J.Fields; #11 C.Woods)",40175728643,0,0
