Date,Tech,Tech Score,Opponent,Opponent Score,W/L/T,City,State,Notes,,,,,Total points scored:
10/28/1901,Louisiana Tech,0,LSU,60,L,"Ruston, LA",LA,"SOURCE: Shreveport Times, 10/29/1901 (Tech Media Guide said 57)",,,,,60
11/23/1901,Louisiana Tech,0,Arkansas,16,L,"Ruston, LA",LA,,,,,,16
11/28/1901,Louisiana Tech,,Shreveport High School,,W,"Shreveport, LA",LA,"Source: Shreveport Times, 11/29/1901. Missing page that has the final score.",,,,,0
10/25/1902,Louisiana Tech,6,Monroe Athletic,5,W,"Ruston, LA",LA,,,,,,11
11/6/1902,Louisiana Tech,0,Shreveport Athletic Association,35,L,"Shreveport, LA",LA,,,,,,35
11/27/1902,Louisiana Tech,0,Monroe Athletic,0,T,"Monroe, LA",LA,KEY,,,,,0
10/30/1903,Louisiana Tech,0,LSU,16,L,"Ruston, LA",LA,Tech Media Guide DID NOT HAVE,,,,,16
11/26/1903,Louisiana Tech,16,Monroe Athletic,5,W,"Monroe, LA",LA,Tech Media Guide WAS WRONG,,,,,21
10/13/1904,Louisiana Tech,0,Shreveport Athletic Association,22,L,"Shreveport, LA",LA,"SOURCE: The Shreveport Journal, Oct 14, 1904",,,,,22
10/16/1904,Louisiana Tech,0,LSU,17,L,"Baton Rouge, LA",LA,"Shreveport Journal Article dated 22 Oct 1904 suggests this game was actually on the 21st (""The University of Louisiana eleven yesterday afternoon defeated the Ruston Institute team by a score of 17 to 0)",,,,,17
10/22/1904,Louisiana Tech,0,Tulane,11,L,"New Orleans, LA",LA,"Confirmed that this game was actually played on October 22, 1904 in NOLA. Times-Democrat article from 10/23/1904",,,,,11
10/29/1904,Louisiana Tech,6,LSU,0,W,"Ruston, LA",LA,"LSU Media Guide has this game taking place on 10/29/1904, which makes more sense (they played at the Shreveport AC on the 28th, which is verified in the Shreveport Journal",,,,,6
11/25/1904,Louisiana Tech,5,Mississippi State,32,L,"Starkville, MS",MS,,,,,,37
3/20/1905,Louisiana Tech,26,Ruston Athletic Club,0,W,"Ruston, LA",LA,,,,,,26
3/20/1905,Louisiana Tech,5,Ouachita Baptist,0,W,"Ruston, LA",LA,,,,,,5
3/20/1905,Louisiana Tech,5,Henderson State,5,T,"Ruston, LA",LA,,,,,,10
3/20/1905,Louisiana Tech,0,Monroe Athletic,0,T,"Ruston, LA",LA,,,,,,0
3/20/1905,Louisiana Tech,0,Shreveport YMCA,0,T,"Ruston, LA",LA,,,,,,0
3/21/1905,Louisiana Tech,49,Ruston Athletic Club,0,W,"Ruston, LA",LA,,,,,,49
3/21/1905,Louisiana Tech,35,Jackson Military College,5,W,"Ruston, LA",LA,,,,,,40
3/21/1905,Louisiana Tech,23,Lyon College,0,W,"Ruston, LA",LA,,,,,,23
3/21/1905,Louisiana Tech,21,Henderson State,0,W,"Ruston, LA",LA,,,,,,21
3/21/1905,Louisiana Tech,18,Mississippi College,0,W,"Ruston, LA",LA,,,,,,18
3/21/1905,Louisiana Tech,11,Monroe Athletic,0,W,"Ruston, LA",LA,,,,,,11
3/21/1905,Louisiana Tech,11,Monroe Athletic,0,W,"Ruston, LA",LA,,,,,,11
3/22/1905,Louisiana Tech,72,Hendrix College,0,W,"Ruston, LA",LA,,,,,,72
3/22/1905,Louisiana Tech,18,16th U.S. Infantry,6,W,"Ruston, LA",LA,,,,,,24
3/22/1905,Louisiana Tech,10,Henderson State,11,L,"Ruston, LA",LA,,,,,,21
3/23/1905,Louisiana Tech,60,Centenary,0,W,"Ruston, LA",LA,,,,,,60
3/23/1905,Louisiana Tech,45,Northwestern State,0,W,"Ruston, LA",LA,,,,,,45
3/23/1905,Louisiana Tech,28,Monroe Athletic,0,W,"Ruston, LA",LA,,,,,,28
3/23/1905,Louisiana Tech,3,Henderson State,0,W,"Ruston, LA",LA,,,,,,3
3/24/1905,Louisiana Tech,75,Winnfield High School,0,W,"Ruston, LA",LA,,,,,,75
3/24/1905,Louisiana Tech,75,UL-Lafayette,0,W,"Ruston, LA",LA,,,,,,75
3/24/1905,Louisiana Tech,60,Louisiana College,0,W,"Ruston, LA",LA,,,,,,60
3/24/1905,Louisiana Tech,32,Northwestern State,0,W,"Ruston, LA",LA,,,,,,32
3/24/1905,Louisiana Tech,11,Henderson State,6,W,"Ruston, LA",LA,,,,,,17
3/24/1905,Louisiana Tech,6,Mississippi College,0,W,"Clinton, MS",MS,,,,,,6
3/24/1905,Louisiana Tech,6,Ouachita Baptist,0,W,"Ruston, LA",LA,,,,,,6
3/25/1905,Louisiana Tech,39,Northwestern State,0,W,"Ruston, LA",LA,,,,,,39
3/25/1905,Louisiana Tech,24,Henderson State,3,W,"Ruston, LA",LA,,,,,,27
3/25/1905,Louisiana Tech,5,Hendrix College,5,T,"Conway, AR",AR,,,,,,10
3/26/1905,Louisiana Tech,20,Centenary,0,W,"Ruston, LA",LA,,,,,,20
3/26/1905,Louisiana Tech,0,Ouachita Baptist,0,T,"Ruston, LA",LA,,,,,,0
3/26/1905,Louisiana Tech,0,Henderson State,14,L,"Ruston, LA",LA,,,,,,14
3/27/1905,Louisiana Tech,53,Louisiana College,0,W,"Ruston, LA",LA,,,,,,53
3/27/1905,Louisiana Tech,40,Northwestern State,0,W,"Ruston, LA",LA,,,,,,40
3/27/1905,Louisiana Tech,3,Mississippi College,7,L,"Ruston, LA",LA,,,,,,10
