gameID,Win,TechReb,OppoReb
313172348,True,50,37
313230250,False,35,57
313292379,True,,
313302348,False,,
313312751,False,,
313342545,False,47,31
313372433,True,30,40
313402348,True,47,35
313442572,False,33,34
313482348,True,37,37
313512348,True,32,35
313542348,True,32,50
313560008,False,38,36
313632348,True,48,28
313652567,False,31,34
320072348,False,44,42
320122348,False,30,41
320142348,False,39,36
320190062,True,31,30
320210023,True,31,34
320262348,True,34,29
320282348,False,31,41
320350166,False,33,37
320400328,False,29,35
320420070,False,24,35
320472348,True,31,40
320492348,True,43,35
320542348,True,37,29
320562348,True,32,36
320610278,True,32,35
320632440,False,21,48
320680328,True,,
320692440,True,,
320700166,False,27,46
400249179,False,,
323140245,False,,
323192348,True,38,43
323232653,True,42,30
400409227,True,,
323242546,True,,
323250236,True,,
323292348,True,33,32
323332348,True,40,38
323352247,True,45,36
323392466,False,50,50
323432348,True,30,46
323472377,False,38,35
323522031,True,45,33
323642348,True,32,30
323662348,True,33,42
330050250,True,38,52
330100326,True,54,32
330122636,True,29,32
330172348,True,29,42
330192348,True,39,46
330240023,True,40,25
330260328,True,31,50
330332348,True,35,39
330382348,True,53,37
330402348,True,46,33
330452547,True,34,36
330470070,True,34,37
330512348,True,68,37
330592348,True,35,41
330612348,True,44,34
330660166,False,26,40
330682172,False,33,32
330732348,False,,
400499217,False,28,38
400499234,True,50,32
400499259,True,48,38
400499284,True,36,23
400519540,True,38,36
400519834,True,36,35
400499300,True,37,31
400499307,False,46,45
400499314,True,43,46
400499326,True,43,37
400498304,False,41,40
400499337,True,44,39
400499358,True,34,36
400498329,True,43,42
400498587,True,55,26
400499390,True,44,39
400499396,True,51,34
400499405,True,53,37
400499417,False,26,48
400499419,True,39,37
400499428,True,31,37
400499436,False,40,40
400499442,True,32,37
400499450,True,36,45
400499458,True,33,34
400499473,True,41,24
400499478,False,37,37
400499489,True,35,32
400499496,True,33,27
400499506,True,35,47
400499512,True,36,26
400546114,True,43,38
400546474,True,35,31
400546616,False,37,38
400591007,True,42,46
400586674,False,37,45
400591358,True,35,45
400587048,True,26,28
400589269,True,27,28
400589100,True,41,42
400591377,True,34,39
400591040,True,32,48
400591388,False,29,42
400587842,False,30,40
400591401,True,26,49
400587873,False,30,42
400606909,True,33,29
400591425,True,25,24
400591435,True,36,34
400591441,True,29,35
400591449,True,26,33
400591456,True,36,40
400591462,False,33,43
400591467,True,32,32
400591474,True,39,32
400591480,True,38,38
400591487,False,34,49
400591494,True,33,35
400591500,True,30,35
400591505,True,36,38
400591511,True,44,36
400591520,False,36,39
400591527,True,44,34
400591533,True,32,39
400591540,True,31,38
400768442,True,34,36
400785002,False,40,48
400841609,True,51,36
400840375,True,47,43
400841610,True,34,37
400817526,True,41,40
400841611,True,43,49
400816811,False,32,49
400841612,True,51,48
400841613,True,37,42
400833162,True,37,43
400821341,False,31,36
400841614,True,39,35
400840128,True,39,30
400841615,True,41,35
400841616,True,37,33
400841617,False,35,36
400841231,True,34,49
400841275,False,39,33
400841255,False,43,34
400841618,True,42,33
400841619,True,39,40
400841620,True,34,38
400830822,True,40,28
400841621,False,32,31
400841622,True,36,38
400841623,True,35,36
400841624,True,39,28
400823081,False,28,36
400841625,True,40,43
400830829,True,40,31
